signal_id,date_signal,symbol,direction,entry_price,tp1_target,tp2_target,tp3_target,sl_target,leverage,risk_reward,confidence_pct,btc_trend,ai_insight,status,tp1_hit,tp2_hit,tp3_hit,sl_hit,tp1_date,tp2_date,tp3_date,sl_date,tp1_profit_pct,tp2_profit_pct,tp3_profit_pct,sl_loss_pct,entry_valid,actual_signal_price,entry_slippage_pct,tp3_missed,validation_status
15,2026-02-18 13:40:11+00:00,ATOMUSDT,LONG,2.336,2.38826,2.41439,2.46666,2.29419,5,1:1.87,,Sideways,,OPEN,False,False,False,False,,,,,,,,,False,,,False,fetch_error
16,2026-02-18 14:59:00+00:00,MONUSDT,SHORT,0.02041,0.01964,0.01926,0.01849,0.02102,5,1:1.87,,Sideways,,SL_CLOSED,False,False,False,True,,,,2026-02-19 02:01:30+00:00,,,,15.01,False,,,False,fetch_error
27,2026-02-20 08:56:07+00:00,JTOUSDT,LONG,0.3155,0.33189,0.34009,0.35648,0.30239,5,1:1.87,,Sideways,,OPEN,False,False,False,False,,,,,,,,,False,,,False,fetch_error
28,2026-02-20 09:18:09+00:00,BIOUSDT,LONG,0.03206,0.03437,0.03552,0.03783,0.03021,5,1:1.88,,Sideways,,SL_CLOSED,False,False,False,True,,,,2026-02-20 13:32:23+00:00,,,,28.78,False,,,False,fetch_error
29,2026-02-20 11:32:41+00:00,AZTECUSDT,LONG,0.02994,0.0333,0.03497,0.03833,0.02725,5,1:1.88,,Sideways,,TP2,True,True,False,False,2026-02-21 00:42:25+00:00,2026-02-21 04:25:34+00:00,,,,84.07,,,False,,,False,fetch_error
30,2026-02-20 11:44:18+00:00,TRUMPUSDT,LONG,3.714,3.83494,3.89542,4.01636,3.61724,5,1:1.88,,Sideways,,SL_CLOSED,False,False,False,True,,,,2026-02-20 12:54:49+00:00,,,,13.03,False,,,False,fetch_error
31,2026-02-20 11:44:59+00:00,RPLUSDT,LONG,2.54,2.67947,2.74921,2.88868,2.42842,5,1:1.88,,Sideways,,SL_CLOSED,False,False,False,True,,,,2026-02-20 15:06:52+00:00,,,,21.96,False,,,False,fetch_error
32,2026-02-20 12:29:46+00:00,HUSDT,SHORT,0.15955,0.1518,0.14792,0.14017,0.16575,5,1:1.87,,Sideways,,SL_CLOSED,False,False,False,True,,,,2026-02-20 15:58:02+00:00,,,,19.43,False,,,False,fetch_error
35,2026-02-20 14:45:35+00:00,SENTUSDT,LONG,0.02413,0.02529,0.02587,0.02704,0.0232,5,1:1.88,,Sideways,,SL_CLOSED,False,False,False,True,,,,2026-02-20 15:28:17+00:00,,,,19.27,False,,,False,fetch_error
42,2026-02-23 00:04:43+00:00,XPLUSDT,SHORT,0.0893,0.08783,0.0871,0.08563,0.09047,5,1:1.87,,Downtrend,,TP3_CLOSED,True,True,True,False,2026-02-23 01:01:51+00:00,2026-02-23 01:04:16+00:00,2026-02-23 01:04:42+00:00,,8.22,12.33,20.56,,False,,,False,fetch_error
